createdAt,createdBy,LastChangedAt,LastChangedBy,BookingUUID,BookingID,BookingDate,ConnectionID,FlightDate,FlightPrice,CurrencyCode_code,TotalSupplPrice,BookingStatus_code,to_Carrier_AirlineID,to_Customer_CustomerID,to_Travel_TravelUUID
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7A757221A8E4645C17002DF03754AB66,1,2021-11-04,1537,2021-11-06,438,USD,0,N,SW,000099,52657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7B757221A8E4645C17002DF03754AB66,2,2021-11-04,1537,2021-11-06,438,USD,4,N,SW,000660,52657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7C757221A8E4645C17002DF03754AB66,1,2021-10-16,1537,2021-11-06,438,USD,47.5,N,SW,000093,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7D757221A8E4645C17002DF03754AB66,2,2021-10-16,1537,2021-11-06,438,USD,8,N,SW,000706,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7E757221A8E4645C17002DF03754AB66,3,2021-10-19,0322,2021-11-08,438,USD,15,N,GA,000093,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,7F757221A8E4645C17002DF03754AB66,4,2021-10-19,0322,2021-11-08,438,USD,0,N,GA,000706,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,80757221A8E4645C17002DF03754AB66,5,2022-08-29,1537,2022-09-02,438,USD,0,N,SW,000093,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,81757221A8E4645C17002DF03754AB66,6,2022-08-29,1537,2022-09-02,438,USD,0,N,SW,000706,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,82757221A8E4645C17002DF03754AB66,7,2022-08-22,0322,2022-09-04,438,USD,3.5,N,GA,000093,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,83757221A8E4645C17002DF03754AB66,8,2022-08-22,0322,2022-09-04,438,USD,9.5,N,GA,000706,53657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,84757221A8E4645C17002DF03754AB66,1,2021-10-30,1537,2021-11-06,438,USD,15.5,N,SW,000665,54657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,85757221A8E4645C17002DF03754AB66,2,2021-11-06,0322,2021-11-08,438,USD,11.5,N,GA,000665,54657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,86757221A8E4645C17002DF03754AB66,3,2022-08-22,1537,2022-09-02,438,USD,21.8,N,SW,000665,54657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,87757221A8E4645C17002DF03754AB66,4,2022-08-30,0322,2022-09-04,438,USD,28.5,N,GA,000665,54657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,88757221A8E4645C17002DF03754AB66,1,2021-11-03,1537,2021-11-06,438,USD,6.5,N,SW,000161,55657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,89757221A8E4645C17002DF03754AB66,2,2021-11-03,1537,2021-11-06,438,USD,14,N,SW,000461,55657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,8A757221A8E4645C17002DF03754AB66,1,2021-10-25,1537,2021-11-06,438,USD,22.5,N,SW,000072,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,8B757221A8E4645C17002DF03754AB66,2,2021-10-25,1537,2021-11-06,438,USD,7.5,N,SW,000399,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:16.338Z,privileged,8C757221A8E4645C17002DF03754AB66,3,2021-10-25,1537,2021-11-06,438,USD,13,N,SW,000203,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,8D757221A8E4645C17002DF03754AB66,4,2021-10-18,0322,2021-11-08,438,USD,0,N,GA,000072,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,8E757221A8E4645C17002DF03754AB66,5,2021-10-18,0322,2021-11-08,438,USD,0,N,GA,000399,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,8F757221A8E4645C17002DF03754AB66,6,2021-10-18,0322,2021-11-08,438,USD,63.5,N,GA,000203,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,90757221A8E4645C17002DF03754AB66,7,2022-08-13,1537,2022-09-02,438,USD,39,N,SW,000072,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,91757221A8E4645C17002DF03754AB66,8,2022-08-13,1537,2022-09-02,438,USD,0,N,SW,000399,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,92757221A8E4645C17002DF03754AB66,9,2022-08-13,1537,2022-09-02,438,USD,28,N,SW,000203,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,93757221A8E4645C17002DF03754AB66,10,2022-08-15,0322,2022-09-04,438,USD,14,N,GA,000072,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,94757221A8E4645C17002DF03754AB66,11,2022-08-15,0322,2022-09-04,438,USD,5,N,GA,000399,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,95757221A8E4645C17002DF03754AB66,12,2022-08-15,0322,2022-09-04,438,USD,16,N,GA,000203,56657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,96757221A8E4645C17002DF03754AB66,1,2021-10-16,1537,2021-11-06,438,USD,24.5,N,SW,000138,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,97757221A8E4645C17002DF03754AB66,2,2021-10-16,1537,2021-11-06,438,USD,13.5,N,SW,000399,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,98757221A8E4645C17002DF03754AB66,3,2021-10-16,1537,2021-11-06,438,USD,34,N,SW,000723,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,99757221A8E4645C17002DF03754AB66,4,2021-10-18,0322,2021-11-08,438,USD,8,N,GA,000138,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9A757221A8E4645C17002DF03754AB66,5,2021-10-18,0322,2021-11-08,438,USD,7.5,N,GA,000399,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9B757221A8E4645C17002DF03754AB66,6,2021-10-18,0322,2021-11-08,438,USD,7,N,GA,000723,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9C757221A8E4645C17002DF03754AB66,7,2022-08-30,1537,2022-09-02,438,USD,0,N,SW,000138,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9D757221A8E4645C17002DF03754AB66,8,2022-08-30,1537,2022-09-02,438,USD,24.5,N,SW,000399,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9E757221A8E4645C17002DF03754AB66,9,2022-08-30,1537,2022-09-02,438,USD,40,N,SW,000723,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,9F757221A8E4645C17002DF03754AB66,10,2022-08-20,0322,2022-09-04,438,USD,0,N,GA,000138,57657221A8E4645C17002DF03754AB66
2022-09-28T13:28:00.791Z,anonymous,2022-09-28T13:31:05.880Z,privileged,A0757221A8E4645C17002DF03754AB66,11,2022-08-20,0322,2022-09-04,438,USD,27.5,N,GA,000399,57657221A8E4645C17002DF03754AB66
